filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
kamalambasamrakshatu.mp3,0.274206295,0.155099511,1598.12481,1850.970943,3185.995496,0.056513666,-167.6828383,108.9833439,-22.07607654,35.29724909,-3.31262703,0.444069901,-6.939825292,1.15131292,-13.24255113,9.09858301,-7.832333075,-6.213546099,-9.012343736,2.401375905,-9.850039581,-3.043398258,-10.17703456,1.358720157,-7.357073482,0.422068446,Anandabhairavi
manasaguruguha.mp3,0.215429073,0.52573812,1505.879504,1893.770914,2843.201399,0.051371268,-60.98310942,115.2020628,-8.599235473,27.8222099,1.163366704,-14.80760072,-7.422686626,-3.146727089,-21.50904981,-0.999473044,-11.50462583,-3.512163511,-1.865144065,-1.851349005,-5.267569592,-3.548114115,-5.820647875,2.801029727,-4.150240782,-3.198727717,Anandabhairavi
neemathisalaka.mp3,0.237844551,0.672849238,1784.991408,2069.266018,3533.476157,0.054747012,-16.56077466,98.30271987,-13.70986747,24.72629203,-3.036094427,-8.435710533,-3.636305799,-3.557180602,-12.8805239,-3.016002293,-11.14333814,-7.143221615,-4.788668855,-1.801924644,-2.607753796,1.248316029,-0.61140352,1.200246888,-3.187017034,-1.650672163,Anandabhairavi
ojagadamba-class.mp3,0.303619659,0.057367384,1453.941696,1170.69265,2516.129165,0.105632833,-247.4555115,137.1457213,-75.10919085,15.41883057,-24.9107473,-25.45483039,-35.614927,-44.45593629,-9.132676004,-10.89648373,-6.5593133,-26.8743638,-21.37998095,1.582419456,-1.183430304,-7.866126828,-14.68743377,-2.191859739,-9.260874883,-3.560873699,Anandabhairavi
11a-anandabhairavi-alapana-dkp-c02.mp3,0.215569999,0.204861864,1188.483301,1531.778305,2042.186239,0.051179413,-141.6887724,142.5393889,-10.55158429,16.04639824,-26.60045196,2.454039292,1.861582907,2.050167031,-12.91833546,3.886387702,-1.561367416,-5.311874132,-11.8992288,0.58567818,-3.118895543,-0.439663057,-7.616439878,-0.243282979,-6.936875209,-2.909155198,Anandabhairavi
03a-anandabhairavi-alapana-ssi-c12.mp3,0.234964851,0.106307805,633.4695264,887.2271108,843.1130098,0.039625596,-314.2819022,187.4456156,50.7921229,3.820116702,-12.9281863,-4.677376057,4.957134605,-18.71395939,-20.42854412,4.563428345,3.596335973,-11.0176487,-8.386214078,-1.195953529,-4.16351683,-9.08227877,-7.657378021,-2.444810321,0.608346486,-0.083657562,Anandabhairavi
03b-tyagarajayoga-anandabhairavi-swarakalpana-ssi-c07.mp3,0.37197986,0.039514251,1644.669556,1418.150377,2488.828363,0.123969027,-239.2465888,143.3046913,-64.06122049,-6.701515499,10.36949952,28.93250179,-22.83066905,4.084296465,4.222647943,1.166948157,-10.00813978,3.534239442,-9.246764353,1.301870844,-3.817346196,3.335989267,-3.661490088,3.855998112,-6.513327212,0.737941303,Anandabhairavi
04c-tyagarajayoga-anandabhairavi-swarakalpana-ssi-c16.mp3,0.362826218,0.052335165,359.2606434,768.7894317,428.6957053,0.019819741,-424.2455823,152.0274303,82.89756209,38.42769665,18.2344321,11.76733151,8.980640375,2.627589096,0.991971338,2.358995273,-2.022054863,-5.429707096,-3.433750131,-1.422336846,-1.038048905,-1.769547752,-2.719549353,-2.66856096,-3.000635098,-3.329656497,Anandabhairavi
02b-pahisri-ananda-bhairavi-swarakalpana-ssi-c13.mp3,0.342963946,0.075692035,1688.810993,1212.830875,2595.213384,0.147642024,-219.9185998,150.9465721,-86.48398882,27.20236969,48.83734819,-3.169553952,0.927893765,7.471577674,-10.24072456,15.64812291,-8.457549835,2.719934287,15.35523923,-9.642641206,-6.322411436,6.05362633,-10.46912971,5.013242489,7.083201801,-3.544836649,Anandabhairavi
04a-anandabhairavi-alapana-ssi-c16.mp3,0.289006643,0.050927248,359.6762643,782.3040951,435.5193436,0.019034184,-444.547741,154.6413287,88.12218314,49.95412979,23.17065467,9.588859217,8.937155765,2.955257302,-5.710270941,-5.814932843,-5.124620259,-5.135646089,-1.725987159,1.968693245,2.940009917,-0.429852868,-5.062482778,-3.929804015,-1.175076617,-2.397875137,Anandabhairavi
